,0
614,-2.2139492
615,-2.1792233
616,-0.07698526
617,-0.08748163
618,-0.16701329
619,-1.0992968
620,0.032178566
621,-0.3969779
622,-0.26135284
623,0.08171909
624,0.09999245
625,-0.2480446
626,-0.083885364
627,-0.39634985
628,-0.5804191
629,-0.01906354
630,-2.1005058
631,-1.0366209
632,-1.2020601
633,-1.8183316
634,-1.3261251
635,-1.2983254
636,-1.2632048
637,-1.3520464
638,-1.3891774
639,-1.2897265
640,-0.4036934
641,-0.98791194
642,-0.8509715
643,-0.6287903
644,-0.30602884
645,-1.333454
646,-0.41102782
647,-0.8257576
648,-0.44871274
649,-0.23575397
650,-0.88570887
651,-0.076393016
652,-0.0631383
653,-1.1062316
654,-0.16455895
655,-0.010039941
656,0.21699314
657,-0.090973526
658,-0.14420466
659,-0.7380384
660,0.37624943
661,-1.0268034
662,-1.2755971
663,-0.35271284
664,0.26726687
665,-0.050843563
666,-0.6960612
667,-0.587892
668,-0.27080223
669,-0.025991406
670,-0.8137302
671,-0.6381594
672,-1.1665018
673,-1.4125279
674,0.07585641
675,-0.20857711
676,0.093907535
677,-0.72417194
678,-0.12333158
679,-0.6443525
680,-0.7421994
681,-0.9392731
682,0.023102174
683,-0.08148966
684,-0.71093225
685,-0.35052797
686,-0.35242814
687,0.22106545
688,-0.2684043
689,-0.025621567
690,-1.0510488
691,-0.040064037
692,0.018554578
693,-0.10377016
694,0.1457913
695,-0.7115919
696,-0.23222698
697,-0.76941323
698,0.15761176
699,-1.2325792
700,0.11088029
701,-0.07843841
702,-0.65009564
703,-0.11054148
704,-1.2289879
705,-0.24894287
706,-1.4391198
707,-1.1345816
708,-0.02812759
709,-0.2750209
710,0.1530768
711,-0.118437506
712,-0.30191943
713,-0.40961635
714,-0.59830934
715,-1.2454561
716,-1.4602537
717,-2.306323
718,-0.013517985
719,-0.46535274
720,-1.3023537
721,-1.6555241
722,-1.3659118
723,-1.9160082
724,-1.2091249
725,-1.4779412
726,-1.776193
727,-1.3636535
728,-1.8274647
729,-1.7679348
730,-1.6234198
731,-2.0062578
732,-1.8459837
733,-1.6620146
734,-1.6794962
735,-2.4788063
736,-1.4007456
737,-2.2004836
738,-1.6658291
739,-2.070954
740,-2.1041923
741,-2.4124155
742,-1.261459
743,-1.8362911
744,-1.6373863
745,-1.7336875
746,-1.2901305
747,-2.449467
748,-1.4198081
749,-2.2460034
750,-2.2722917
751,-2.120926
752,-2.0222647
753,-1.6519833
754,-1.9254246
755,-1.7237042
756,-2.4181588
757,-1.7883306
758,-1.9096047
759,-1.7727749
760,-1.5339017
761,-2.240143
762,-1.7831025
763,-2.1136677
764,-1.8217026
765,-1.5337995
766,-1.785969
767,-1.8823936
768,-1.9138051
769,-1.8128427
770,-1.7785821
771,-1.8583958
772,-1.6823676
773,-1.8667465
774,-1.7517563
775,-2.371108
776,-1.4708767
777,-1.8176974
778,-2.474658
779,-1.7873304
780,-1.3665332
781,-2.3782392
782,-1.6893958
783,-1.9337456
