,observers,resids,max_resid,mean_resid,a,w
26,False,"tensor([[1.5725e-07, 2.6871e-04],
        [3.8759e-08, 2.8531e-04],
        [9.2090e-11, 3.0211e-04],
        ...,
        [4.3282e-05, 9.0350e-03],
        [2.5809e-05, 9.0451e-03],
        [1.2820e-05, 9.0445e-03]])",0.02205473557114601,0.005825381260365248,0.10000000149011612,1.399999976158142
27,False,"tensor([[1.3523e-05, 4.9541e-04],
        [1.7179e-05, 5.2010e-04],
        [2.1346e-05, 5.4452e-04],
        ...,
        [1.4277e-04, 1.2985e-03],
        [1.2993e-04, 1.3095e-03],
        [1.1768e-04, 1.3175e-03]])",0.02917277254164219,0.0053444504737854,0.10000000149011612,1.4500000476837158
28,False,"tensor([[9.9112e-06, 3.9854e-05],
        [1.1364e-05, 4.1542e-05],
        [1.2945e-05, 4.3214e-05],
        ...,
        [1.6768e-04, 1.7060e-04],
        [1.6359e-04, 1.6964e-04],
        [1.5962e-04, 1.6868e-04]])",0.021038366481661797,0.0028188335709273815,0.15000000596046448,0.10000000149011612
29,False,"tensor([[1.5530e-05, 2.9779e-05],
        [1.6857e-05, 3.1279e-05],
        [1.8219e-05, 3.2804e-05],
        ...,
        [7.0847e-04, 5.9968e-05],
        [7.0643e-04, 5.9207e-05],
        [7.0445e-04, 5.8484e-05]])",0.006100226193666458,0.0006433696835301816,0.15000000596046448,0.15000000596046448
30,False,"tensor([[7.1655e-08, 2.0811e-05],
        [1.7793e-07, 2.2385e-05],
        [3.3738e-07, 2.4011e-05],
        ...,
        [7.4975e-03, 2.2721e-05],
        [7.5231e-03, 1.7315e-05],
        [7.5473e-03, 1.2578e-05]])",0.010664377361536026,0.0009664703393355012,0.15000000596046448,0.20000000298023224
31,False,"tensor([[5.3011e-06, 9.1722e-07],
        [5.7345e-06, 1.0147e-06],
        [6.1899e-06, 1.1199e-06],
        ...,
        [2.1391e-03, 5.6287e-05],
        [2.1569e-03, 4.9403e-05],
        [2.1742e-03, 4.2896e-05]])",0.002174196531996131,8.912890189094469e-05,0.15000000596046448,0.25
32,False,"tensor([[2.0378e-06, 4.6761e-06],
        [1.8642e-06, 5.1907e-06],
        [1.6831e-06, 5.7341e-06],
        ...,
        [2.6357e-02, 7.7302e-04],
        [2.6528e-02, 6.9154e-04],
        [2.6693e-02, 6.1386e-04]])",0.026693062856793404,0.0018138709710910916,0.15000000596046448,0.30000001192092896
33,False,"tensor([[7.0383e-06, 3.3855e-07],
        [7.4635e-06, 3.0635e-07],
        [7.8841e-06, 2.7405e-07],
        ...,
        [2.5636e-05, 4.5381e-06],
        [2.5996e-05, 6.6794e-06],
        [2.6280e-05, 9.2109e-06]])",0.0018366469303146005,0.00022191196330823004,0.15000000596046448,0.3499999940395355
34,False,"tensor([[6.4038e-06, 4.8073e-06],
        [6.5843e-06, 5.0647e-06],
        [6.7517e-06, 5.3206e-06],
        ...,
        [5.7864e-04, 6.9515e-05],
        [5.8100e-04, 6.6847e-05],
        [5.8329e-04, 6.4142e-05]])",0.0008218995644710958,0.00011384516983525828,0.15000000596046448,0.4000000059604645
35,False,"tensor([[6.4162e-06, 3.5476e-10],
        [6.8359e-06, 8.1758e-09],
        [7.2542e-06, 2.6820e-08],
        ...,
        [6.9030e-03, 3.3555e-04],
        [6.9430e-03, 3.1588e-04],
        [6.9818e-03, 2.9661e-04]])",0.006981770042330027,0.0009992602281272411,0.15000000596046448,0.44999998807907104
36,False,"tensor([[1.6102e-05, 1.4467e-06],
        [1.6916e-05, 1.4475e-06],
        [1.7732e-05, 1.4478e-06],
        ...,
        [2.9894e-02, 1.2767e-03],
        [3.0086e-02, 1.1614e-03],
        [3.0271e-02, 1.0514e-03]])",0.030271228402853012,0.0031898871529847383,0.15000000596046448,0.5
37,False,"tensor([[2.5671e-06, 2.3799e-06],
        [2.6901e-06, 2.5283e-06],
        [2.8041e-06, 2.6741e-06],
        ...,
        [1.5324e-06, 2.8597e-04],
        [1.0142e-06, 2.8930e-04],
        [6.0022e-07, 2.9248e-04]])",0.0008778259507380426,0.00011654004629235715,0.15000000596046448,0.550000011920929
38,False,"tensor([[3.2806e-06, 1.8314e-07],
        [3.3495e-06, 1.8640e-07],
        [3.4104e-06, 1.8873e-07],
        ...,
        [1.3280e-04, 1.8415e-04],
        [1.3684e-04, 1.7724e-04],
        [1.4084e-04, 1.7037e-04]])",0.003072243183851242,0.00042030130862258375,0.15000000596046448,0.6000000238418579
39,False,"tensor([[5.9203e-07, 5.1102e-06],
        [6.9683e-07, 5.3071e-06],
        [8.1403e-07, 5.4983e-06],
        ...,
        [4.4611e-04, 3.4007e-04],
        [4.3416e-04, 3.6795e-04],
        [4.2196e-04, 3.9680e-04]])",0.005493182223290205,0.0007165957358665764,0.15000000596046448,0.6499999761581421
40,False,"tensor([[1.0694e-05, 4.1110e-07],
        [1.1457e-05, 4.1974e-07],
        [1.2235e-05, 4.2376e-07],
        ...,
        [1.6810e-03, 8.1859e-04],
        [1.7198e-03, 7.7856e-04],
        [1.7580e-03, 7.3918e-04]])",0.007389772217720747,0.0014578541740775108,0.15000000596046448,0.699999988079071
41,False,"tensor([[7.5670e-06, 2.0314e-05],
        [7.4709e-06, 2.1727e-05],
        [7.3427e-06, 2.3205e-05],
        ...,
        [5.6563e-04, 8.2385e-05],
        [5.7275e-04, 7.5657e-05],
        [5.7950e-04, 6.9139e-05]])",0.0040068840608000755,0.0006606813985854387,0.15000000596046448,0.75
42,False,"tensor([[7.4996e-06, 4.1079e-07],
        [7.6558e-06, 6.4518e-07],
        [7.8149e-06, 9.2709e-07],
        ...,
        [1.2264e-03, 1.1077e-03],
        [1.1876e-03, 1.1149e-03],
        [1.1495e-03, 1.1213e-03]])",0.06218578666448593,0.010273236781358719,0.15000000596046448,0.800000011920929
43,False,"tensor([[5.9143e-06, 2.3450e-04],
        [7.7272e-06, 2.5338e-04],
        [9.8508e-06, 2.7312e-04],
        ...,
        [1.1588e-01, 8.0175e-02],
        [1.1299e-01, 8.2089e-02],
        [1.1011e-01, 8.3972e-02]])",3.2432639598846436,0.2082202136516571,0.15000000596046448,0.8999999761581421
44,False,"tensor([[1.4325e-08, 7.2792e-05],
        [4.4824e-08, 8.0693e-05],
        [9.6583e-08, 8.9068e-05],
        ...,
        [6.0227e-04, 2.5858e-01],
        [2.7069e-04, 2.6015e-01],
        [6.9599e-05, 2.6160e-01]])",0.4383285343647003,0.04319757595658302,0.15000000596046448,0.949999988079071
